Name Latitude Longitude Sea_ID Vertex_Index
E_Greenland 72.0000 19.0000 8 6
E_Greenland 66.5635 0.0000 8 7
E_Greenland 65.0000 -14.0000 8 8
E_Greenland 63.7500 -20.0000 8 9
E_Greenland 57.0000 -45.0000 8 10
E_Greenland 80.0000 -45.0000 8 11
E_Greenland 80.4000 -22.5000 8 12
E_Greenland 81.0650 -19.1346 8 13
E_Greenland 81.4000 -12.2500 8 14
E_Greenland 79.7500 11.5000 8 15
E_Greenland 79.0000 14.5000 8 16
E_Greenland 78.7500 18.0000 8 17
Baffin 80.0000 -45.0000 9 1
Baffin 57.0000 -45.0000 9 2
Baffin 44.0000 -45.0000 9 3
Baffin 44.0000 -53.1000 9 4
Baffin 46.8000 -53.1000 9 5
Baffin 47.6600 -53.8800 9 6
Baffin 48.0000 -54.0000 9 7
Baffin 49.5000 -57.5000 9 8
Baffin 51.5000 -56.2000 9 9
Baffin 52.0000 -56.2000 9 10
Baffin 52.0000 -64.6600 9 11
Baffin 60.4200 -64.6600 9 12
Baffin 61.5000 -64.9000 9 13
Baffin 62.0000 -66.0000 9 14
Baffin 63.5000 -70.0000 9 15
Baffin 69.0000 -71.0000 9 16
Baffin 71.2000 -78.2000 9 17
Baffin 72.0000 -77.0000 9 18
Baffin 72.2500 -76.5000 9 19
Baffin 72.5800 -76.2000 9 20
Baffin 72.8800 -76.2000 9 21
Baffin 73.3000 -78.6000 9 22
Baffin 73.6200 -78.2000 9 23
Baffin 74.7000 -80.4900 9 24
Baffin 75.0000 -81.5000 9 25
Baffin 75.6000 -80.2000 9 26
Baffin 75.8600 -79.5000 9 27
Baffin 76.1000 -78.9000 9 28
Baffin 76.5000 -78.4400 9 29
Baffin 76.7000 -78.4400 9 30
Baffin 76.8000 -80.5000 9 31
Baffin 77.1000 -83.0000 9 32
Baffin 77.7000 -82.2000 9 33
Baffin 78.7000 -80.0000 9 34
Baffin 79.6500 -79.0000 9 35
Baffin 81.0000 -73.0000 9 36
Baffin 82.3500 -61.5000 9 37
Baffin 82.0000 -58.0000 9 38
Baffin 80.0000 -53.0000 9 39
Baffin 80.0000 -45.0000 9 40
St_Lawr 52.0000 -56.2000 10 1
St_Lawr 51.5000 -56.2000 10 2
St_Lawr 49.5000 -57.5000 10 3
St_Lawr 48.0000 -54.0000 10 4
St_Lawr 47.6600 -53.8800 10 5
St_Lawr 46.8000 -53.1000 10 6
St_Lawr 44.0000 -53.1000 10 7
St_Lawr 42.5000 -53.1000 10 8
St_Lawr 42.5000 -67.0000 10 9
St_Lawr 46.0000 -67.0000 10 10
St_Lawr 46.0000 -71.0000 10 11
St_Lawr 52.0000 -71.0000 10 12
St_Lawr 52.0000 -64.6600 10 13
St_Lawr 52.0000 -56.2000 10 14
Hudson 71.2000 -78.2000 11 1
Hudson 69.0000 -71.0000 11 2
Hudson 63.5000 -70.0000 11 3
Hudson 62.0000 -66.0000 11 4
Hudson 61.5000 -64.9000 11 5
Hudson 60.4200 -64.6600 11 6
Hudson 57.0000 -64.6600 11 7
Hudson 57.0000 -75.0000 11 8
Hudson 50.0000 -75.0000 11 9
Hudson 50.0000 -100.0000 11 10
Hudson 66.5635 -100.0000 11 11
Hudson 66.5635 -90.0000 11 12
Hudson 66.7500 -90.0000 11 13
Hudson 66.7500 -86.5000 11 14
Hudson 67.5000 -83.0000 11 15
Hudson 69.5000 -83.0000 11 16
